x,y,especie,date,precision
9.423802,48.846224,"Abies alba",2025-01-18,42
16.480767,47.436038,"Abies alba",2025-01-19,3
12.823167,46.82537,"Abies alba",2025-01-19,32
-2.02229,48.427881,"Abies alba",2025-01-21,8
6.910672,46.395128,"Abies alba",2025-01-21,8
7.903834,49.961779,"Abies alba",2025-01-25,8
10.702583,47.244297,"Abies alba",2025-01-25,4
15.878024,47.964825,"Abies alba",2025-01-25,NA
15.76149,47.070148,"Abies alba",2025-01-26,NA
14.516495,51.128697,"Abies alba",2025-01-26,8
15.829688,46.941507,"Abies alba",2025-01-27,NA
11.40228,47.294432,"Abies alba",2025-01-25,197
23.183887,48.698593,"Abies alba",2025-01-26,82
12.762967,46.82397,"Abies alba",2025-01-31,26
15.62398,46.865978,"Abies alba",2025-01-18,NA
4.74535,50.95065,"Abies alba",2025-01-23,6
4.58268,51.24539,"Abies alba",2025-01-24,9
3.67865,51.0244,"Abies alba",2025-01-30,25
4.58336,51.24564,"Abies alba",2025-01-24,1
4.5827,51.24502,"Abies alba",2025-01-24,9
7.5381,47.46823,"Abies alba",2025-01-20,3535
9.32836,47.45284,"Abies alba",2025-01-25,3535
7.67094,47.51301,"Abies alba",2025-01-15,3535
7.14784,46.07364,"Abies alba",2025-01-25,3535
7.27478,46.83852,"Abies alba",2025-01-26,3535
6.42784,46.56428,"Abies alba",2025-01-26,3535
6.42784,46.56428,"Abies alba",2025-01-11,3535
9.26672,47.58878,"Abies alba",2025-01-26,3535
6.48989,46.74473,"Abies alba",2025-01-02,3535
6.42784,46.56428,"Abies alba",2025-01-26,3535
7.47165,47.24341,"Abies alba",2025-01-01,3535
7.33948,47.28835,"Abies alba",2025-01-25,3535
7.40583,46.88361,"Abies alba",2025-01-01,3535
9.32836,47.45284,"Abies alba",2025-01-25,3535
6.42784,46.56428,"Abies alba",2025-01-11,3535
6.42784,46.56428,"Abies alba",2025-01-29,3535
7.53711,46.92855,"Abies alba",2025-01-14,3535
8.89015,45.97471,"Abies alba",2025-01-20,3535
7.67113,47.55798,"Abies alba",2025-01-15,3535
6.42784,46.56428,"Abies alba",2025-01-05,3535
9.12951,47.45592,"Abies alba",2025-01-20,3535
6.49384,46.51986,"Abies alba",2025-01-04,3535
6.23524,46.42745,"Abies alba",2025-01-28,3535
9.44734,47.09094,"Abies alba",2025-01-26,3535
9.02829,46.28775,"Abies alba",2025-01-07,3535
7.40572,47.06352,"Abies alba",2025-01-11,3535
6.42784,46.56428,"Abies alba",2025-01-26,3535
9.19728,47.49989,"Abies alba",2025-01-02,3535
7.08292,46.11843,"Abies alba",2025-01-06,3535
6.12503,50.58503,"Abies alba",2025-01-26,3
20.207331,49.141196,"Abies alba",2025-01-02,15
6.4,52.8,"Abies alba",2025-01-04,5000
8.89248,47.292976,"Abies alba",2025-01-26,41
8.427324,56.913277,"Abies alba",2025-01-02,14
10.729927,47.553471,"Abies alba",2025-01-23,10
22.22961,49.581817,"Abies alba",2025-01-01,2
3.121447,46.118094,"Abies alba",2025-01-10,NA
5.831678,48.617261,"Abies alba",2025-01-13,NA
7.189272,44.865509,"Abies alba",2025-01-01,96
5.831553,48.617233,"Abies alba",2025-01-13,NA
6.815336,43.791016,"Abies alba",2025-01-04,9
3.02995,46.194511,"Abies alba",2025-01-10,NA
-1.043077,48.834438,"Abies alba",2025-01-19,5
7.17851,48.412325,"Abies alba",2025-01-25,5
15.543208,46.929669,"Abies alba",2025-01-29,NA
15.482556,47.055281,"Abies alba",2025-01-30,NA
16.315079,50.241791,"Abies alba",2025-01-30,15
17.5674,59.84643,"Abies alba",2025-01-21,10
7.023283,47.252258,"Abies alba",2025-01-29,95
13.290101,48.003129,"Abies alba",2025-02-02,56
13.230334,47.912779,"Abies alba",2025-02-02,16
13.229955,47.914057,"Abies alba",2025-02-02,2
13.290517,48.002747,"Abies alba",2025-02-02,70
13.229981,47.91406,"Abies alba",2025-02-02,3
13.29237,48.002981,"Abies alba",2025-02-02,85
13.291336,48.003637,"Abies alba",2025-02-02,3
13.24393,47.924648,"Abies alba",2025-02-02,4
13.227812,47.912899,"Abies alba",2025-02-02,2
13.290012,48.003411,"Abies alba",2025-02-02,70
13.23912,47.930505,"Abies alba",2025-02-02,3
13.238912,47.931486,"Abies alba",2025-02-02,3
13.291614,48.002275,"Abies alba",2025-02-02,4
13.243547,47.925985,"Abies alba",2025-02-02,13
11.415209,47.292771,"Abies alba",2025-02-02,5
6.2,51.85,"Abies alba",2025-02-01,5000
13.526607,48.093259,"Abies alba",2025-02-05,32
9.774005,47.42331,"Abies alba",2025-02-07,7
13.53229,48.08089,"Abies alba",2025-02-05,50
13.808716,47.959781,"Abies alba",2025-02-08,50
13.6688,47.204378,"Abies alba",2025-02-09,NA
16.17922,59.78166,"Abies alba",2025-02-03,100
12.41503,57.36915,"Abies alba",2025-02-02,50
15.19625,58.37077,"Abies alba",2025-02-01,25
11.89949,58.2932,"Abies alba",2025-02-07,25
15.19911,58.3487,"Abies alba",2025-02-01,25
14.92119,58.28989,"Abies alba",2025-02-01,25
15.96007,58.5432,"Abies alba",2025-02-10,25
17.02423,59.39648,"Abies alba",2025-02-10,400
9.527799,48.709454,"Abies alba",2025-02-01,26646
14.844622,51.1979,"Abies alba",2025-02-02,NA
16.074533,48.037049,"Abies alba",2025-02-02,NA
15.13973,50.915852,"Abies alba",2025-02-02,NA
16.484725,47.39818,"Abies alba",2025-02-08,4
11.393918,47.28422,"Abies alba",2025-02-05,NA
-1.887717,48.601272,"Abies alba",2025-02-08,15
16.293262,48.257406,"Abies alba",2025-02-08,NA
16.484942,47.398297,"Abies alba",2025-02-08,64
16.568005,49.736576,"Abies alba",2025-02-09,101
16.585613,49.724377,"Abies alba",2025-02-09,138
15.007168,50.63454,"Abies alba",2025-02-09,NA
5.780174,58.812622,"Abies alba",2025-02-14,50
8.14303,62.939682,"Abies alba",2025-02-09,5
8.14312,62.939682,"Abies alba",2025-02-09,5
5.670301,58.945502,"Abies alba",2025-02-17,25
8.142977,62.939494,"Abies alba",2025-02-09,5
10.671905,59.898574,"Abies alba",2025-02-16,10
8.143282,62.939576,"Abies alba",2025-02-09,5
10.627645,59.482287,"Abies alba",2025-02-10,10
8.143426,62.939567,"Abies alba",2025-02-09,5
8.142994,62.939555,"Abies alba",2025-02-09,5
8.142734,62.939502,"Abies alba",2025-02-09,5
8.142833,62.939457,"Abies alba",2025-02-09,5
8.143048,62.9396,"Abies alba",2025-02-09,5
8.142968,62.939547,"Abies alba",2025-02-09,5
8.142878,62.939486,"Abies alba",2025-02-09,5
8.186873,46.711631,"Abies alba",2025-02-09,NA
13.101888,47.719269,"Abies alba",2025-02-13,5
13.110974,47.716579,"Abies alba",2025-02-15,2
12.75808,56.73045,"Abies alba",2025-02-18,10
17.68618,59.82828,"Abies alba",2025-02-16,10
5.718666,58.899168,"Abies alba",2025-02-18,10
5.722026,58.860554,"Abies alba",2025-02-19,5
5.725763,58.860642,"Abies alba",2025-02-18,5
5.725197,58.860749,"Abies alba",2025-02-18,5
10.404072,59.255494,"Abies alba",2025-02-24,8
5.725969,58.860665,"Abies alba",2025-02-18,5
8.16326,62.911998,"Abies alba",2025-02-23,5
5.725296,58.860577,"Abies alba",2025-02-18,5
5.728107,58.858974,"Abies alba",2025-02-18,5
5.719915,58.860953,"Abies alba",2025-02-18,5
11.114189,46.532349,"Abies alba",2025-02-02,2096
2.922183,46.112647,"Abies alba",2025-02-12,3
16.43827,47.375622,"Abies alba",2025-02-14,2
16.438683,47.376255,"Abies alba",2025-02-14,138
16.438653,47.376397,"Abies alba",2025-02-14,4
12.884688,46.802058,"Abies alba",2025-02-15,194
8.572706,47.08905,"Abies alba",2025-02-16,4544
6.10455,45.8369,"Abies alba",2025-02-15,8
9.641609,45.896821,"Abies alba",2025-02-14,17
11.20459,47.472375,"Abies alba",2025-02-18,14
16.24861,47.038802,"Abies alba",2025-02-18,NA
16.30095,47.439097,"Abies alba",2025-02-16,4
16.132168,47.849481,"Abies alba",2025-02-15,NA
2.96071,51.06937,"Abies alba",2025-02-18,7
5.04147,51.22552,"Abies alba",2025-02-25,5
13.35096,47.554409,"Abies alba",2025-02-16,5
4.4,52.1,"Abies alba",2025-02-20,5000
4.65,52.65,"Abies alba",2025-02-23,5000
5.65,51.45,"Abies alba",2025-02-22,5000
9.794984,47.436954,"Abies alba",2025-02-24,10
13.823237,47.130496,"Abies alba",2025-02-26,16
11.361001,47.288887,"Abies alba",2025-02-22,8
6.35,51.95,"Abies alba",2025-02-25,5000
5.25,52.1,"Abies alba",2025-02-28,5000
13.453748,48.125605,"Abies alba",2025-02-28,32
13.473361,48.054972,"Abies alba",2025-02-28,10
12.723102,47.227716,"Abies alba",2025-02-27,10
9.57183,46.90873,"Abies alba",2025-02-01,3535
9.45241,47.22582,"Abies alba",2025-02-02,3535
6.36264,46.56368,"Abies alba",2025-02-04,3535
9.57362,46.95369,"Abies alba",2025-02-19,3535
9.26208,47.45391,"Abies alba",2025-02-02,3535
6.36264,46.56368,"Abies alba",2025-02-03,3535
6.36264,46.56368,"Abies alba",2025-02-04,3535
6.36264,46.56368,"Abies alba",2025-02-07,3535
6.42784,46.56428,"Abies alba",2025-02-06,3535
7.67035,47.3781,"Abies alba",2025-02-04,3535
9.57541,46.99865,"Abies alba",2025-02-09,3535
7.53819,47.5132,"Abies alba",2025-02-19,3535
6.42784,46.56428,"Abies alba",2025-02-01,3535
6.42784,46.56428,"Abies alba",2025-02-01,3535
6.36264,46.56368,"Abies alba",2025-02-03,3535
6.42784,46.56428,"Abies alba",2025-02-05,3535
6.82013,46.47713,"Abies alba",2025-02-15,3535
6.82013,46.47713,"Abies alba",2025-02-15,3535
9.02829,46.28775,"Abies alba",2025-02-03,3535
6.49384,46.51986,"Abies alba",2025-02-15,3535
6.82013,46.47713,"Abies alba",2025-02-15,3535
6.82013,46.47713,"Abies alba",2025-02-15,3535
7.67113,47.55798,"Abies alba",2025-02-16,3535
6.36264,46.56368,"Abies alba",2025-02-04,3535
6.42784,46.56428,"Abies alba",2025-02-06,3535
6.82013,46.47713,"Abies alba",2025-02-15,3535
7.01081,47.06272,"Abies alba",NA,3535
6.42784,46.56428,"Abies alba",2025-02-05,3535
9.43394,46.73125,"Abies alba",2025-02-12,3535
6.82013,46.47713,"Abies alba",2025-02-15,3535
9.51143,47.04481,"Abies alba",2025-02-01,3535
6.48751,46.87965,"Abies alba",2025-02-02,3535
9.45241,47.22582,"Abies alba",2025-02-02,3535
6.42784,46.56428,"Abies alba",2025-02-05,3535
6.82013,46.47713,"Abies alba",2025-02-15,3535
9.57362,46.95369,"Abies alba",2025-02-19,3535
6.42784,46.56428,"Abies alba",2025-02-09,3535
9.43561,46.77621,"Abies alba",2025-02-17,3535
8.33465,47.50978,"Abies alba",2025-02-19,3535
7.0172,46.25314,"Abies alba",2025-02-10,3535
11.467368,47.300707,"Abies alba",2025-02-20,1
9.297615,45.853766,"Abies alba",2025-02-16,NA
16.438638,47.37545,"Abies alba",2025-02-14,15
7.245822,47.416517,"Abies alba",2025-02-21,20
0.5019,42.757197,"Abies alba",2025-02-24,20
5.718172,58.92748,"Abies alba",2025-02-23,50
11.092253,59.175094,"Abies alba",2025-02-18,10
6.046884,59.069626,"Abies alba",2025-02-28,10
7.008809,61.951112,"Abies alba",2025-02-24,100
17.65238,59.83355,"Abies alba",2025-02-12,10
