"x"
"Arenaria aggregata"
"Arenaria armerina"
"Arenaria capitata"
"Arenaria cavanillesiana"
"Arenaria conimbricensis"
"Arenaria erinacea"
"Arenaria grandiflora"
"Arenaria leptoclados"
"Arenaria ligericina"
"Arenaria modesta subsp. tenuis"
"Arenaria montana"
"Arenaria montana subsp. intricata"
"Arenaria purpurascens"
"Arenaria serpyllifolia"
"Saxifraga x polita"
"Arenaria tetraquetra"
"Arenaria tetraquetra subsp. murcica"
"Arenaria tetraquetra subsp. tetraquetra"
"Arisarum simorrhinum"
"Arisarum vulgare"
"Arisarum vulgare subsp. simorrhinum"
"Aristolochia baetica"
"Aristolochia paucinervis"
"Aristolochia pistolochia"
"Armeria cantabrica"
"Armeria colorata"
"Armeria euscadiensis"
"Armeria macrophylla"
"Armeria maritima"
"Armeria microcephala"
"Armeria pubigera"
"Armeria pungens"
"Armeria rothmaleri"
"Armeria ruscinonensis"
"Armeria splendens"
"Arnica montana"
"Arrhenatherum elatius"
"Arrhenatherum elatius subsp. bulbosum"
"Artemisia assoana"
"Artemisia barrelieri"
"Artemisia caerulescens subsp. caerulescens"
"Artemisia caerulescens subsp. gallica"
"Artemisia caerulescens subsp. gargantae"
"Artemisia campestris"
"Artemisia campestris subsp. glutinosa"
"Artemisia campestris subsp. maritima"
"Artemisia chamaemelifolia subsp. cantabrica"
"Artemisia crithmifolia"
"Artemisia granatensis"
"Artemisia herba-alba"
"Artemisia lucentica"
"Artemisia pedemontana"
"Artemisia umbelliformis"
"Artemisia vulgaris"
"Arum italicum"
"Arum maculatum"
"Aruncus dioicus"
"Arundo donax"
"Arvicola sapidus"
"Arvicola terrestris"
"Ascidia mentula"
"Ascophyllum nodosum"
"Asparagopsis armata"
"Asparagus acutifolius"
"Asparagus albus"
"Asparagus horridus"
"Asparagus maritimus"
"Asparagus stipularis"
"Luzula nutans"
"Asperula aristata"
"Asperula hirta"
"Adenostyles alliariae subsp. pyrenaica"
"Asperula pyrenaica"
"Asphodelus aestivus"
"Meconopsis cambrica"
"Asphodelus albus"
"Asphodelus cerasiferus"
"Asplenium billotii"
"Asplenium fontanum"
"Asplenium foresiense"
"Asplenium foreziense"
"Asplenium marinum"
"Asplenium onopteris"
